Date,AAPL_Price,JNJ_Price,XOM_Price,AAPL_Return,JNJ_Return,XOM_Return
2015-01-02,24.214895248413086,76.54862976074219,57.53342819213867,,,
2015-01-05,23.5327205657959,76.01396942138672,55.95921325683594,-0.028576132737747784,-0.007009090446680399,-0.027743048071191503
2015-01-06,23.534931182861328,75.64044952392578,55.66169738769531,9.393360343779035e-05,-0.00492594485995943,-0.005330839391754808
2015-01-07,23.864946365356445,77.3103256225586,56.22571563720703,0.013924952221895165,0.02183633851902141,0.010081974581083867
2015-01-08,24.781896591186523,77.91815948486328,57.16156005859375,0.03770270740998344,0.007831513250291987,0.01650741966621779
2015-01-09,24.808469772338867,76.85620880126953,57.08098602294922,0.0010717074966112097,-0.013722780591885184,-0.0014105786638732728
2015-01-12,24.197172164916992,76.59258270263672,55.98398208618164,-0.024949344297932125,-0.003436017389487622,-0.019405451218645706
2015-01-13,24.412025451660156,76.72440338134766,55.77947235107422,0.008840083624330137,0.0017195839099157547,-0.00365969295407021
2015-01-14,24.318992614746094,76.16780090332031,55.618324279785156,-0.003818223120767429,-0.007281011344767967,-0.0028932023535824573
2015-01-15,23.658966064453125,75.0618896484375,55.134910583496094,-0.027515476280891567,-0.01462584450260062,-0.008729618901163673
2015-01-16,23.475130081176758,76.19710540771484,56.473636627197266,-0.007800591524964419,0.015010506633341405,0.023990819453216884
2015-01-20,24.079788208007812,74.18302154541016,56.45503234863281,0.025431258710268703,-0.0267881713483976,-0.00032948725777945674
2015-01-21,24.263620376586914,74.6297836303711,56.938446044921875,0.007605299669200952,0.006004368060542214,0.008526356749354832
2015-01-22,24.894847869873047,75.99201965332031,57.558231353759766,0.025682744482110154,0.018088658303557555,0.010826364164774064
2015-01-23,25.023317337036133,74.84947204589844,56.3310546875,0.00514721445660789,-0.015149272865640766,-0.02155117844244637
2015-01-26,25.049888610839844,74.89346313476562,56.870262145996094,0.0010612971865799918,0.0005875547995591829,0.009526594771143876
2015-01-27,24.172809600830078,74.76891326904297,56.36824035644531,-0.03564094957713302,-0.0016644115571119776,-0.008866685225475733
2015-01-28,25.53937339782715,74.32218933105469,54.50893783569336,0.05499288488334235,-0.005992648348377798,-0.03354120043985386
2015-01-29,26.334497451782227,74.9813232421875,54.2796516418457,0.03065845369737804,0.008829506847505752,-0.004215268061740664
2015-01-30,25.949111938476562,73.34078216552734,54.18043518066406,-0.014742382849228469,-0.02212223157699949,-0.0018295483945014685
2015-02-02,26.274696350097656,73.84616088867188,55.519161224365234,0.01246897308491748,0.006867194857446085,0.024408339701998613
2015-02-03,26.279129028320312,75.03992462158203,57.1739387512207,0.0001686909830539542,0.016036277819858204,0.029369969869618148
2015-02-04,26.48067855834961,74.23429870605469,56.68433380126953,0.00764030498554467,-0.010794010105068143,-0.008600305569095712
2015-02-05,26.669687271118164,75.03992462158203,57.242122650146484,0.007112256202036591,0.01079401010506814,0.009792164581931717
2015-02-06,26.445106506347656,74.04387664794922,57.1359748840332,-0.008456480281654764,-0.013362455020632085,-0.0018560860667455007
2015-02-09,26.620759963989258,73.0771255493164,57.17343521118164,0.0066202291929417,-0.01314244736293075,0.0006554198549049411
2015-02-10,27.13218879699707,73.49457550048828,56.829994201660156,0.019029440352721673,0.0056962029767239,-0.0060251178452663205
2015-02-11,27.76814079284668,73.51656341552734,56.573970794677734,0.023168547352019203,0.00029913264212690197,-0.004515253800235346
2015-02-12,28.119464874267578,72.09571838378906,57.67922592163086,0.012572687811690202,-0.01951607530880573,0.019348073186032197
2015-02-13,28.257326126098633,72.9599609375,58.30366897583008,0.004890719183485591,0.011916152255712471,0.010767951401058214
2015-02-17,28.424091339111328,73.56050109863281,58.103851318359375,0.0058843162948202694,0.008197401450662414,-0.0034330746539389615
2015-02-18,28.621992111206055,73.20895385742188,56.829994201660156,0.006938305104842363,-0.004790477877175751,-0.02216769613291604
